id,assessment_code,assessment_name,purpose,introduction
1,QMS,Quality Management System,,
2,ETH,Ethics,,
3,MLD,Management and Leadership,,
4,COM,Communication,,
5,SEC,Security,,
6,EMR,Emergency Management and Response,,
7,WFT,Workforce Training,,
8,GEN,General Laboratory Practice,,
9,SAF,Safety domain,,
10,SRV,Surveillance,,
11,INF,Informatics,"The competencies in Informatics address the knowledge, skills, and abilities needed to systematically apply information science, computer science, and information technology to support public health practice, research, and learning.","Informatics is a broad field encompassing information science, information technology, algorithms, and social science. In addition to electronic recordkeeping and automated data management, informatics includes such activities as test analyses, clinical decision support, messaging, and knowledge management. Once thought of as a support function, the delivery of laboratory informatics services has now evolved to be a mission-critical and central component of laboratory operations. Health laboratory informatics must be cross-cutting, multisectoral, and interoperable to support a nationally integrated electronic laboratory reporting (ELR) system and electronic health record (EHR) system. Since all laboratories must rely on informatics capabilities and often have limited access to informaticians or informatics specialists, it is essential that all staff members maintain varying levels of informatics competencies."
12,MCB,Microbiology,,
13,CHM,Chemistry,,
14,BIO,Bioinformatics,,
15,RES,Research,,
16,SPH,Potential Hazards,,
17,SHC,Hazard Control,,
18,SDR,Documents and Records,,
19,SAC,Administrative Controls,,
20,SCT,Communication and Training,,
