code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
BIO,1,1,Biology and computer science knowledge competencies ensure integration of knowledge of biology and computer science.,1.01,Domain-specific biology principles,Identifies potential biological problems to be addressed by computer science techniques,Determines biological problems to be addressed by computer science techniques,Evaluates the effectiveness of the selected computer science technique(s) in addressing biological problems,Selects biological problems to be addressed by computer science techniques,N/A
BIO,1,1,Biology and computer science knowledge competencies ensure integration of knowledge of biology and computer science.,1.02,Domain-specific computer science principles,Identifies computer science domains to apply to biological problems,Applies computer science domains to biological problems,Evaluates computer science domains to apply to biological problems,Develops new understandings of computer science domains to apply to biological problems,N/A
BIO,1,2,Statistical methods knowledge competencies ensure application of knowledge of statistical methods for analysis of biological data.,2.01,Statistical analysis,Prepares data for processing,Uses simple statistical analysis to analyze trends and patterns and to draw conclusions related to the biological data,Compares findings to any related data sets,Oversees selection of advanced statistical methods applicable to specific bioinformatics analyses,N/A
BIO,1,3,Data analysis competencies ensure analysis of biological data.,3.01,Data analysis,Selects which existing tools and algorithms to use for any given analysis,Determines options and parameters of tools to meet specified needs of a given data analysis,Implements new software tools to address unmet needs or improve current processes,Creates stand-alone analysis tools,N/A
BIO,1,3,Data analysis competencies ensure analysis of biological data.,3.02,Data interpretation,Identifies data pertinent to the analysis problem,Formulates results of analyses  including information in the form of graphs  charts and tables,Interprets results within the context of the analysis problem,Generates hypotheses to predict future implications based on the evaluation of data analyses,N/A
BIO,1,3,Data analysis competencies ensure analysis of biological data.,3.03,Data visualization and representation,Uses data visualization and representation tools to present results of data analyses,Selects visualization and representation tools for specified bioinformatics problems,Evaluates representation and visualization tools for summarizing data analyses,Modifies existing visualization and representation tools to provide insight into bioinformatics analyses,N/A
BIO,1,3,Data analysis competencies ensure analysis of biological data.,3.04,Communication,Discusses bioinformatics with other scientists within their institution,Initiates bioinformatics collaborations with colleagues,Facilitates knowledge-sharing with stakeholders,Contributes to new findings and meaningful advancements in bioinformatics through the evaluation and sharing of knowledge,N/A
BIO,1,4,Data management competencies ensure conduct of data management  storage and retrieval.,4.01,Data structures,Demonstrates basic knowledge of data structures,Applies knowledge of data structures to relevant problems,Manipulates data structures to address biological problems,Develops new data structures,N/A
BIO,1,4,Data management competencies ensure conduct of data management  storage and retrieval.,4.02,Data management,Describes data management techniques,Applies knowledge of data management techniques to relevant problems,Evaluates data management techniques,Develops new data management techniques,N/A
BIO,1,4,Data management competencies ensure conduct of data management  storage and retrieval.,4.03,Data storage and retrieval,Describes data storage and retrieval techniques,Applies knowledge of data storage and retrieval techniques,Evaluates data storage and retrieval techniques,Develops new data storage and retrieval techniques,N/A
BIO,1,4,Data management competencies ensure conduct of data management  storage and retrieval.,4.04,Allocation of computing resources,Describe available computing resources and capacity,Allocates computing resources,Manages allocation of multiple computing resources,Develops new methods for allocation of computing resources,N/A
