code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
COM,1,1,Communication technique competencies deploy formal written and oral communication strategies.,1.01,Written communication,Identifies key messages for written communication,Applies logical structure to written communications,Incorporates tools to organize and present detailed or complex information,Establishes content  style  tone and form for written messages according to target audience,N/A
COM,1,1,Communication technique competencies deploy formal written and oral communication strategies.,1.02,Oral communication,Identifies key messages for oral communication,Applies language and tone in oral communications tailored to target audience,Selects communication methods tailored to target audience,Establishes content  style  tone and form for oral messages tailored to target audience,N/A
COM,1,2,Active listening skill competencies display active listening skills when interacting with others.,2.01,Dialogue exchange,Provides undivided attention to the other participants in a dialogue,Summarizes the dialogue to show understanding,Provides feedback based on the dialogue summary,Facilitates dialogue exchange through appropriate exchange and clarification of critical points,N/A
COM,1,2,Active listening skill competencies display active listening skills when interacting with others.,2.02,Contextual clues,Exhibits open posture and facial expression to engage the other participants in a dialogue,Applies range of body language cues to enhance the exchange,Exhibits active listening during the dialogue exchange,Incorporates multiple behaviors of engagement during dialogue exchanges,N/A
COM,1,2,Active listening skill competencies display active listening skills when interacting with others.,2.03,Respectful exchange,Defers judgment during dialogue exchanges,Provides counterpoints while being respectful of disagreements,Coaches others in techniques of respectful exchange,Facilitates respectful dialogue among participants in the exchange,N/A
COM,1,3,Comprehension of materials competencies demonstrate comprehension of written documents and directions.,3.01,Reading comprehension,Follows written directions,Applies knowledge acquired from written text to situations,Adapts concepts from written text for use in new situations,Extrapolates information from written text to develop new ideas that enhance work processes,N/A
COM,1,4,Communication technology competencies utilize technology to communicate information to internal and external partners and stakeholders.,4.01,Technology capability,Describes the laboratories and partner’s technological capabilities,Selects laboratory’s technology options to align with partner’s capabilities,Evaluates existing and potential technology to align with partner’s capabilities,Establishes technology policies that integrate with the partner’s capabilities,N/A
COM,1,4,Communication technology competencies utilize technology to communicate information to internal and external partners and stakeholders.,4.02,Use of technology,Describes employer’s policies and procedures for sharing information,Uses designated technology for sharing information,Manages technology policies and procedures used for sharing information,Evaluates the effectiveness of the technology used for sharing information,N/A
COM,1,5,Communication professionalism competencies ensure professionalism in communication with customers and stakeholders.,5.01,Professional attitude,Uses tone of voice and language tailored to interactions with customers and stakeholders,Displays professional demeanor in all situations with customers and stakeholders,Monitors interactions with customers and stakeholders to ensure they are conducted professionally,Establishes policies for professional customer and stakeholder interactions,N/A
COM,1,5,Communication professionalism competencies ensure professionalism in communication with customers and stakeholders.,5.02,Information exchange,Provides information based on policies and procedures to meet the needs of customers and stakeholders,Determines information needs through collaboration with customers and stakeholders,Ensures that information exchange policies  processes and procedures are followed to meet the needs of the customers and stakeholders,Develops overarching system for exchange of information to meet the needs of customers and stakeholders,N/A
COM,1,5,Communication professionalism competencies ensure professionalism in communication with customers and stakeholders.,5.03,Information sharing opportunities,Shares information as directed,Selects information to share,Develops information to share,Creates opportunities for sharing information,N/A
COM,1,6,Professional report competencies ensure preparation of professional written reports and oral presentations.,6.01,Written reports,Organizes information for written reports,Creates drafts of written reports,Revises written reports,Establishes policies  processes and procedures for written reports,N/A
COM,1,6,Professional report competencies ensure preparation of professional written reports and oral presentations.,6.02,Oral presentations,Organizes information for oral presentations,Creates drafts of oral presentations,Revises oral presentations,Establishes policies  processes and procedures for oral presentations,N/A
COM,1,7,Risk communication competencies apply emergency and risk communication principles and techniques to explain information to targeted audiences.,7.01,Risk communication plan,Describes the risk communication process,Adheres to the risk communication plan,Ensures staff compliance with the risk communication plan,Establishes policies  processes and procedures related to the risk communication plan,N/A
COM,1,7,Risk communication competencies apply emergency and risk communication principles and techniques to explain information to targeted audiences.,7.02,Emergency information,Lists basic emergency information for target audience,Identifies specific emergency information for target audience,Develops emergency information and messages tailored to target audience,Collaborates with agency leaders and partners to deliver emergency information and messages tailored to target audience,N/A
COM,1,7,Risk communication competencies apply emergency and risk communication principles and techniques to explain information to targeted audiences.,7.03,Empathetic risk communication,Describes empathetic risk communication concepts,Delivers empathetic messaging in high-risk situations or emergencies,Creates empathetic messaging in high-risk situations and emergencies,Evaluates empathetic messaging for high-risk situations and emergencies,N/A
COM,1,8,Health laboratory value competencies promote the value of the diagnostic laboratory.,8.01,Public relations,Describes impact of the work of the health laboratory and system,Coordinates opportunities for promoting the health laboratory and system,Identifies opportunities to promote the health laboratory and system,Develops opportunities to promote the health laboratory and system,N/A
COM,1,8,Health laboratory value competencies promote the value of the diagnostic laboratory.,8.02,Communication to educate and inform,Supports the development and distribution of communication materials about the health laboratory,Presents communication materials to explain the importance of the health laboratory,Develops communication materials to explain the importance of the health laboratory,Manages the policies  processes and procedures regarding communication materials to explain the importance of the health laboratory,N/A
COM,1,8,Health laboratory value competencies promote the value of the diagnostic laboratory.,8.03,Storytelling,Shares approved health laboratory stories,Incorporates use of stories when communicating the impact of health laboratory work,Develops stories that convey information highlighting the impact of health laboratory work,Evaluates the impact of storytelling in promoting the health laboratory,N/A
COM,1,8,Health laboratory value competencies promote the value of the diagnostic laboratory.,8.04,Marketing strategy,Participates in marketing strategies,Implements the marketing strategy for the health laboratory,Manages the marketing strategy for the health laboratory,Oversees the marketing strategy for the public health laboratory,N/A
COM,1,9,Media relations competencies enable effective work with the media to provide information about health laboratories and health issues.,9.01,Media relations policies and strategies,Adheres to agency media relations policies and procedures,Identifies situations where agency media relations policies and strategies apply,Monitors the application of agency media relations policies and strategies,Oversees media relations policies and strategies,N/A
COM,1,9,Media relations competencies enable effective work with the media to provide information about health laboratories and health issues.,9.03,Key messages,Describes the value of using key messages,Applies key messages during public and media interactions,Develops key messages for media and public communications,Oversees delivery of key messages on complicated  high-risk topics,N/A
