code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
EMR,1,1,Mitigation of emergency event competencies ensure mitigatation of emergency events.,1.01,Risk assessment*,Recognizes potential vulnerabilities and risks in their work area,Assesses potential vulnerabilities and risks in the organization,Develops the plan to reduce and ensure against risks in the organization,Manages the policies  processes and procedures to reduce and ensure against risks in the organization,N/A
EMR,1,1,Mitigation of emergency event competencies ensure mitigatation of emergency events.,1.02,Incident response plan,Describes the incident response plan,Implements the incident response plan while maintaining safety and security of staff and facilities,Verifies staff compliance with the incident response plan while ensuring the safety and security of staff and facilities,Manages facility-wide implementation of the incident response plan,N/A
EMR,1,1,Mitigation of emergency event competencies ensure mitigatation of emergency events.,1.03,Emergency situation recognition,Recognizes emergencies and other incidents in their work area that should be reported,Recognizes emergencies and other incidents in the organization that should be reported,Evaluates staff’s ability to recognize emergencies and other incidents that should be reported,Creates an environment that supports the recognition and reporting of emergencies,N/A
EMR,1,1,Mitigation of emergency event competencies ensure mitigatation of emergency events.,1.04,Emergency alarms,Recognizes significance of alarms,Explains to others the significance of alarms,Evaluates staff’s knowledge of alarm significance,Collaborates with persons and agencies to develop site-specific or unique alarm systems,N/A
EMR,1,1,Mitigation of emergency event competencies ensure mitigatation of emergency events.,1.05,Laboratory assets important during an emergency,Describes the assets in their work area,Inventories the assets in the facility,Identifies the assets in the facility,Manages the assets in the facility,N/A
EMR,1,1,Mitigation of emergency event competencies ensure mitigatation of emergency events.,1.06,Evaluation of emergency events,Summarizes the emergency evaluation process,Assesses emergencies to determine the extent of each incident,Interprets data from evaluation of emergencies to develop specific response to each incident,Shares findings of the evaluation of  and responses to  emergency events with stakeholders to enhance mitigation,N/A
EMR,1,2,Preparation for emergency events competencies ensures preparation for emergency events.,2.01,Preparation for emergency events,Explains the laboratory’s emergency response plan,Assists with development and implementation of the laboratory’s emergency response plan,Manages development and implementation of the emergency response plan,Oversees implementation of the laboratory’s emergency response plan,N/A
EMR,1,2,Preparation for emergency events competencies ensures preparation for emergency events.,2.02,Incident management system (IMS),Demonstrates awareness of the IMS,Supports the operation and management of the IMS,Implements the IMS,Serves at a leadership level in the IMS,N/A
EMR,1,2,Preparation for emergency events competencies ensures preparation for emergency events.,2.03,Emergency response training,Participates in emergency response training  exercises  and drills,Contributes to the development of emergency response training  exercises  and drills,Conducts emergency response training  exercises  and drills in collaboration with stakeholder agencies,Oversees the collaboration with stakeholder agencies to sponsor and conduct training  exercises  and drills  ensuring proper resources are available,N/A
EMR,1,2,Preparation for emergency events competencies ensures preparation for emergency events.,2.04,Emergency notification,Describes requirements for notification of emergencies and other incidents according to organizational plans and policies,Implements organizational plans and policies for notification of emergencies and other incidents,Develops internal policies and procedures for notification of emergencies and other incidents,Oversees the collaboration with stakeholders and agencies to develop and implement plans and policies for notification of emergencies and other incidents,N/A
EMR,1,2,Preparation for emergency events competencies ensures preparation for emergency events.,2.05,Identification of key partners,Describe partners and their relationships with the institution,Interacts with partners on staff,Engages partners to sustain relationships and ensure effective response,Develops new partnerships to ensure effective emergency response,N/A
EMR,1,2,Preparation for emergency events competencies ensures preparation for emergency events.,2.06,Execution of agreements,Describes emergency agreements between the institution and other partners,Updates agreements with partners to ensure emergency response capability,Trains staff on agreements in place to ensure emergency response capability,Negotiates agreements between partner organizations to ensure emergency response capability,N/A
EMR,1,2,Preparation for emergency events competencies ensures preparation for emergency events.,2.07,Emergency preparedness and response networks,Explains how the laboratory interacts with emergency preparedness and response networks,Describes the plans  policies and procedures the institution has in place to prepare for and respond to a health emergency,Develops the organizational plans  policies  and procedures to prepare for and respond to a health emergency,Oversees the collaboration with emergency preparedness and response networks to develop and implement plans  policies  and procedures to prepare for and respond to a health emergency,N/A
EMR,1,3,Responding to emergency events competencies ensure proper responce to emergency events.,3.01,Situational briefing,Participates in meetings and conference calls to receive information on the situation,Prepares information on the situation,Facilitates the briefing of key stakeholders to create situational awareness,Manages implementation of COOP measures and ICS activation,N/A
EMR,1,3,Responding to emergency events competencies ensure proper responce to emergency events.,3.02,EOS activation,Performs position responsibilities as assigned,Produces information and documentation for briefings,Confirms staff are available with proper qualifications and capabilities,Establishes organization’s ICS structure  reporting procedures  and chain of command,N/A
EMR,1,3,Responding to emergency events competencies ensure proper responce to emergency events.,3.03,Emergency evacuation,Locates emergency evacuation routes and assembly areas,Uses emergency evacuation routes and assembly areas,Instructs staff during evacuation,Manages emergency evacuation and assembly,N/A
