code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
SPH,1,1,Physical environment competencies ensure safety in the physical environment of the laboratory facility.,1.01,Physical hazards in the laboratory facility,Describes the physical hazards in the laboratory facility,Recognizes new physical hazards in the laboratory facility,Assesses staff knowledge of the physical hazards in the laboratory facility,Evaluates the laboratory facility for physical hazards,N/A
SPH,1,1,Physical environment competencies ensure safety in the physical environment of the laboratory facility.,1.02,Control measures to be used when physical hazards are present,Describes control measures to be used when physical hazards are present in the laboratory facility,Implements control measures to be used when physical hazards are present in the laboratory facility,Ensures staff knowledge of control measures to be used when physical hazards are present in the laboratory facility,Establishes the control measures to be used when physical hazards are present in the laboratory facility,N/A
SPH,1,1,Physical environment competencies ensure safety in the physical environment of the laboratory facility.,1.03,Work practices to be used when physical hazards are present,Describes work practices to be used when physical hazards are present in the laboratory facility,Implements work practices to be used when physical hazards are present in the laboratory facility,Ensures that staff implement the established work practices when physical hazards are present in the laboratory facility,Establishes the work practices to be used when physical hazards are present in the laboratory facility,N/A
SPH,1,2,Biological materials competencies ensure safety when working with biological materials in the laboratory.,2.01,Biological materials used in the laboratory,Lists the biological materials in the laboratory,Distinguishes biohazardous materials from non-biohazardous materials in the laboratory,Manages the inventory of biological materials to ensure it is complete and updated,Establishes the policies  processes and procedures for implementing a biological materials inventory system,N/A
SPH,1,2,Biological materials competencies ensure safety when working with biological materials in the laboratory.,2.02,Hazards associated with the biological materials handled in the laboratory,Describes hazards associated with the biological materials handled in the laboratory,Recognizes hazards associated with new biological materials used in laboratory procedures,Assesses staff knowledge of the hazards associated with biological materials used in laboratory procedures,Ensures that staff are skilled in describing and recognizing hazards associated with the biological materials used in the laboratory,N/A
SPH,1,2,Biological materials competencies ensure safety when working with biological materials in the laboratory.,2.03,Control measures to be used when working with biological materials,Describes the control measures to be used when working with biological materials,Implements the control measures to be used when working with biological materials,Ensures that staff implement the established control measures when working with biological materials,Establishes the control measures to be used when working with biological materials,N/A
SPH,1,2,Biological materials competencies ensure safety when working with biological materials in the laboratory.,2.04,Work practices to be used when working with biological materials,Describes the work practices to be used when working with biological materials,Implements the work practices to be used when working with biological materials,Ensures that staff implement the established work practices when working with biological materials,Establishes the work practices to be used when working with biological materials,N/A
SPH,1,2,Biological materials competencies ensure safety when working with biological materials in the laboratory.,2.05,Hazards associated with laboratory procedures,Describes hazards associated with the laboratory procedures employed,Explains the hazards associated with the laboratory procedures employed,Manages the hazards associated with laboratory procedures,Ensures that staff are capable of recognizing  training  and managing the hazards associated with laboratory procedures,N/A
SPH,1,3,Research animals competencies ensure safety when working with research animals.,3.01,Hazards associated with research animals,Describes hazards associated with working with research animals,Identifies hazards associated with the particular species of animals used in the laboratory’s research,Assesses staff knowledge of the hazards associated with the particular species of animals used in the laboratory’s research,Ensures that staff are skilled in describing and recognizing hazards associated with the research animals used in the laboratory’s research,N/A
SPH,1,3,Research animals competencies ensure safety when working with research animals.,3.02,Route of exposure to infectious agents in the animal care setting,Describes possible route(s) of exposure to infectious agents in relation to animal procedures,Identifies the possible route(s) of exposure to infectious agents in relation to the animal procedures used in the laboratory or animal facility,Assesses staff knowledge of the hazards associated with the animal procedures used in the laboratory or animal facility,Evaluates possible route(s) of exposure to infectious agents in relation to the animal procedures used in the laboratory and animal facilities,N/A
