code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
SRV,1,1,Function of surveillance competencies ensure recognition of the function of laboratory testing in surveillance.,1.01,Function of laboratory surveillance,Describes the importance of health laboratory surveillance testing,Explains the integration of health laboratory testing into broader surveillance programs,Ensures selected laboratory testing and reporting procedures are aligned with surveillance activities and program requirements,Oversees the policies  processes and procedures that ensure laboratory data will support surveillance activity and program requirements,N/A
SRV,1,2,Notification rules and protocols competencies ensure compliance with national and jurisdictional protocols or regulations regarding notifiable results.,2.01,Notification,Describes notification protocols or regulations,Reports data to laboratory management,Manages the approval and communication of health surveillance test results,Contributes to determination of national  regional  and local notification conditions,N/A
SRV,1,3,Surveillance testing competencies ensure performance of surveillance testing.,3.01,Surveillance testing systems,Describes test sample collection  storage and analytical requirements,Identifies the functional requirements of surveillance testing protocols*,Creates surveillance testing protocols that include functional requirements,Directs development and modifications to surveillance testing systems based on jurisdictional guidance and analytical capabilities,N/A
SRV,1,3,Surveillance testing competencies ensure performance of surveillance testing.,3.02,Surveillance testing workflow†,Describes test sample collection  storage  and analytical method workflows,Employs established testing workflow and test methods for the surveillance target requirements,Customizes testing workflow policies and procedures to the surveillance target requirements,Directs development and modifications to surveillance testing system workflows,N/A
SRV,1,3,Surveillance testing competencies ensure performance of surveillance testing.,3.03,Surveillance testing,Tests samples for surveillance,Participates in performance evaluation of surveillance test methods and testing capabilities,Applies technical knowledge to develop test methods and testing capabilities used in surveillance,Oversees the selection and creation of health surveillance tests,N/A
SRV,1,3,Surveillance testing competencies ensure performance of surveillance testing.,3.04,Outbreak or exposure event detection,Describes at least one definition of an outbreak or exposure event,Informs supervisor of potential outbreak or exposure event,Reports potential outbreak or exposure events to key stakeholders,Contributes to the modification of outbreak or exposure event recognition processes or definitions,N/A
SRV,1,3,Surveillance testing competencies ensure performance of surveillance testing.,3.05,Sample collection for outbreak or exposure events,Receives outbreak or exposure event samples for testing,Ensures that outbreak or exposure event samples meet sample collection criteria,Collaborates with key stakeholders to determine the best samples to collect,Contributes to sample collection guidelines for outbreak or exposure event scenarios,N/A
SRV,1,3,Surveillance testing competencies ensure performance of surveillance testing.,3.06,Testing for outbreak or exposure events,Follows sample prioritization schema for testing during an outbreak or exposure event,Ensures that outbreak or exposure event samples are prioritized according to schema,Reports outbreak or exposure event testing results to key stakeholders,Represents the laboratory in After Action Reviews for outbreak or exposure events,N/A
SRV,1,4,Response to critical surveillance event competencies ensure appropriate responses to critical surveillance events.,4.01,Critical event planning,Describes critical event response processes and procedures related to surveillance,Applies critical event processes and procedures related to surveillance,Evaluates plans and After-Action Review findings following critical events,Modifies the policies  processes and procedures for critical surveillance events based on results of exercises or actual events,N/A
SRV,1,4,Response to critical surveillance event competencies ensure appropriate responses to critical surveillance events.,4.02,Critical event response,Describes own critical event response duties related to surveillance,Manages resources required to respond to critical events,Implements the critical event response plan,Oversees the activation and termination of the critical event response plan,N/A
